"filename", "language", "JSON with Comments", "JSON", "Batch", "C++", "Shell Script", "C", "x86 and x86_64 Assembly", "CMake", "CMake Cache", "Log", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 1, 20, 310
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\mmu.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 8, 4, 38
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 8, 7, 49
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 8, 25, 108
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C++", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 15, 83
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 22, 109
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h", "C", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 9, 23
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h", "C", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 8, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h", "C", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 8, 6, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 12, 66
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 22, 3, 64
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 52, 9, 107
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 5, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 394, 0, 0, 0, 0, 88, 482
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c", "C", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 8, 6, 63
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c", "C", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c", "C", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 2, 67
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 3, 12, 234
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c", "C", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 6, 84
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 11, 10, 59
"e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\loader\loader.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 8, 25
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c", "C", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 13, 80
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c", "C", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 6, 97
"e:\ubuntu\diy-x86os\start\start\source\loader\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"e:\ubuntu\diy-x86os\start\start\start.code-workspace", "JSON with Comments", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"Total", "-", 33, 2942, 25, 327, 35, 2899, 473, 322, 312, 70208, 361, 901, 78838
