"filename", "language", "CMake", "C", "JSON with Comments", "C++", "x86 and x86_64 Assembly", "Shell Script", "Batch", "CMake Cache", "JSON", "Log", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\qemu-debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 962656, 0, 1, 962657
"e:\ubuntu\diy-x86os\start\start\script\img-write-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 18, 10, 44
"e:\ubuntu\diy-x86os\start\start\script\img-write-osx.sh", "Shell Script", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 17, 11, 44
"e:\ubuntu\diy-x86os\start\start\script\img-write-win.bat", "Batch", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 24, 10, 49
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 4
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-osx.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-win.bat", "Batch", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 1, 14
"e:\ubuntu\diy-x86os\start\start\script\test.code-workspace", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\ubuntu\diy-x86os\start\start\source\applib\CMakeLists.txt", "CMake", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\ubuntu\diy-x86os\start\start\source\applib\crt0.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\applib\cstart.c", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 24
