"filename", "language", "x86 and x86_64 Assembly", "C", "JSON with Comments", "C++", "CMake", "LinkerScript", "Shell Script", "Batch", "JSON", "Log", "CMake Cache", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-loader-Debug-670a68e7d8158d8d51f5.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 1, 171
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\toolchains-v1-0345dc3850ce02d89834.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"e:\ubuntu\diy-x86os\start\start\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 312, 0, 74, 386
"e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CMakeASMCompiler.cmake", "CMake", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 18, 73
"e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\3.23.1\CompilerIdC\CMakeCCompilerId.c", "C", 0, 633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 135, 829
"e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\CMakeError.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 56, 109
"e:\ubuntu\diy-x86os\start\start\build\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 15, 35
"e:\ubuntu\diy-x86os\start\start\build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 10, 58
"e:\ubuntu\diy-x86os\start\start\build\compile_commands.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 92
"e:\ubuntu\diy-x86os\start\start\build\source\boot\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\build\source\kernel\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\build\source\loader\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\script\img-write-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 18, 10, 44
"e:\ubuntu\diy-x86os\start\start\script\img-write-osx.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 17, 11, 44
"e:\ubuntu\diy-x86os\start\start\script\img-write-win.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 25, 10, 49
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 4
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-osx.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-win.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"e:\ubuntu\diy-x86os\start\start\script\test.code-workspace", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\ubuntu\diy-x86os\start\start\source\boot\CMakeLists.txt", "CMake", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.c", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 24
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"e:\ubuntu\diy-x86os\start\start\source\boot\start.S", "x86 and x86_64 Assembly", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
"e:\ubuntu\diy-x86os\start\start\source\comm\elf.h", "C++", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 13, 58
"e:\ubuntu\diy-x86os\start\start\source\comm\types.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 82
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 258
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 245
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 90
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C++", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 15, 70
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 98
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h", "C", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 4, 21
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 6, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C++", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 12, 66
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 104
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 169
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 63
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c", "C", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"e:\ubuntu\diy-x86os\start\start\source\kernel\kernel.lds", "LinkerScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c", "C", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 219
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c", "C", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 84
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 57
"e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt", "CMake", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\loader\loader.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c", "C", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c", "C", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"e:\ubuntu\diy-x86os\start\start\source\loader\start.S", "x86 and x86_64 Assembly", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"e:\ubuntu\diy-x86os\start\start\start.code-workspace", "JSON with Comments", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"Total", "-", 201, 2123, 26, 359, 322, 17, 35, 15, 2878, 73, 312, 227, 752, 7340
