"filename", "language", "x86 and x86_64 Assembly", "C", "JSON with Comments", "CMake", "JSON", "C++", "Batch", "CMake Cache", "Shell Script", "Log", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\boot\start.S", "x86 and x86_64 Assembly", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h", "C++", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 15, 130
"e:\ubuntu\diy-x86os\start\start\source\comm\elf.h", "C++", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 13, 58
"e:\ubuntu\diy-x86os\start\start\source\comm\types.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 16, 25, 228
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36, 371
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 100
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 310
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\mmu.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 38
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 48
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C++", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 103
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C++", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 8, 15, 83
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 109
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h", "C", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 26
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 12, 66
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 44
