Date : 2025-07-06 15:42:04
Directory : e:\ubuntu\diy-x86os\start\start\source
Total : 79 files,  7412 codes, 454 comments, 1006 blanks, all 8872 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\kbd.h        | C++                     |         58 |          0 |         13 |         71 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h       | C++                     |         11 |          0 |          5 |         16 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\tty.h        | C++                     |         37 |          8 |          6 |         51 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\devfs\devfs.h | C++                     |         11 |          0 |          4 |         15 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\fatfs\fatfs.h | C++                     |         72 |          3 |         16 |         91 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\file.h        | C                       |         32 |          8 |          8 |         48 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\fs.h          | C                       |         62 |          0 |          9 |         71 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h      | C++                     |         14 |          0 |          9 |         23 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h        | C++                     |         13 |          0 |          3 |         16 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h         | C++                     |         14 |          8 |          9 |         31 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h   | C++                     |         15 |          8 |          6 |         29 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h     | C                       |         31 |          8 |          7 |         46 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h     | C++                     |         54 |          0 |         12 |         66 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h      | C                       |          5 |          0 |          5 |         10 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c        | C                       |         62 |         14 |          3 |         79 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S  | x86 and x86_64 Assembly |         10 |          0 |          1 |         11 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c              | C                       |         57 |         14 |         12 |         83 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h              | C++                     |          3 |          0 |          5 |          8 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\lib_syscall.c       | C                       |        150 |          0 |         12 |        162 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S             | x86 and x86_64 Assembly |        449 |          0 |        102 |        551 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c              | C                       |         49 |          8 |          6 |         63 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c                | C                       |         47 |          0 |          4 |         51 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c           | C                       |         65 |          0 |          2 |         67 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c             | C                       |        244 |          3 |         14 |        261 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c             | C                       |         78 |          8 |          6 |         92 |
| e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c              | C                       |         49 |         13 |         12 |         74 |
| e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt           | CMake                   |         15 |          0 |          3 |         18 |
| e:\ubuntu\diy-x86os\start\start\source\loader\loader.h                 | C++                     |         17 |          0 |          8 |         25 |
| e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c              | C                       |         66 |          9 |         13 |         88 |
| e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c              | C                       |         91 |          0 |          6 |         97 |
| e:\ubuntu\diy-x86os\start\start\source\loader\start.S                  | x86 and x86_64 Assembly |         29 |          0 |          6 |         35 |
| e:\ubuntu\diy-x86os\start\start\source\loop\CMakeLists.txt             | CMake                   |         20 |          0 |          5 |         25 |
| e:\ubuntu\diy-x86os\start\start\source\loop\main.c                     | C                       |         58 |          8 |          4 |         70 |
| e:\ubuntu\diy-x86os\start\start\source\loop\main.h                     | C                       |         23 |          8 |         12 |         43 |
| e:\ubuntu\diy-x86os\start\start\source\shell\CMakeLists.txt            | CMake                   |         20 |          0 |          5 |         25 |
| e:\ubuntu\diy-x86os\start\start\source\shell\main.c                    | C                       |        354 |          9 |         12 |        375 |
| e:\ubuntu\diy-x86os\start\start\source\shell\main.h                    | C                       |         23 |          8 |         12 |         43 |
| Total                                                                  |                         |      7,412 |        454 |      1,006 |      8,872 |
+------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
